
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    127.0.0.1:57154        127.0.0.1:57152        TIME_WAIT       0
  TCP    127.0.0.1:57157        127.0.0.1:57155        TIME_WAIT       0
  TCP    127.0.0.1:57158        127.0.0.1:57156        TIME_WAIT       0
  TCP    127.0.0.1:57160        127.0.0.1:57159        TIME_WAIT       0
  TCP    127.0.0.1:57164        127.0.0.1:57163        TIME_WAIT       0
  TCP    127.0.0.1:57166        127.0.0.1:57165        TIME_WAIT       0
  TCP    127.0.0.1:57168        127.0.0.1:57167        TIME_WAIT       0
  TCP    127.0.0.1:57172        127.0.0.1:57170        TIME_WAIT       0
  TCP    127.0.0.1:57173        127.0.0.1:57169        TIME_WAIT       0
  TCP    127.0.0.1:57174        127.0.0.1:57171        TIME_WAIT       0
  TCP    127.0.0.1:57176        127.0.0.1:57179        TIME_WAIT       0
  TCP    127.0.0.1:57177        127.0.0.1:57175        TIME_WAIT       0
  TCP    127.0.0.1:57178        127.0.0.1:57180        TIME_WAIT       0
  TCP    127.0.0.1:57179        127.0.0.1:57176        TIME_WAIT       0
  TCP    127.0.0.1:57180        127.0.0.1:57178        TIME_WAIT       0
  TCP    127.0.0.1:57182        127.0.0.1:57183        TIME_WAIT       0
  TCP    127.0.0.1:57183        127.0.0.1:57182        TIME_WAIT       0
  TCP    127.0.0.1:57185        127.0.0.1:57184        TIME_WAIT       0
  TCP    127.0.0.1:57187        127.0.0.1:57186        TIME_WAIT       0
  TCP    127.0.0.1:57885        127.0.0.1:57886        ESTABLISHED     3108
  TCP    127.0.0.1:57886        127.0.0.1:57885        ESTABLISHED     3108
  TCP    127.0.0.1:58750        127.0.0.1:58751        ESTABLISHED     3108
  TCP    127.0.0.1:58751        127.0.0.1:58750        ESTABLISHED     3108
  TCP    127.0.0.1:60283        127.0.0.1:60284        ESTABLISHED     3108
  TCP    127.0.0.1:60284        127.0.0.1:60283        ESTABLISHED     3108
  TCP    127.0.0.1:60570        127.0.0.1:60571        ESTABLISHED     3108
  TCP    127.0.0.1:60571        127.0.0.1:60570        ESTABLISHED     3108
  TCP    127.0.0.1:60708        127.0.0.1:60709        ESTABLISHED     3108
  TCP    127.0.0.1:60709        127.0.0.1:60708        ESTABLISHED     3108
  TCP    127.0.0.1:61078        0.0.0.0:0              LISTENING       6288
  TCP    127.0.0.1:62130        127.0.0.1:62131        ESTABLISHED     3108
  TCP    127.0.0.1:62131        127.0.0.1:62130        ESTABLISHED     3108
  TCP    127.0.0.1:63342        0.0.0.0:0              LISTENING       8404
  TCP    127.0.0.1:64016        127.0.0.1:64017        ESTABLISHED     3108
  TCP    127.0.0.1:64017        127.0.0.1:64016        ESTABLISHED     3108
  TCP    192.168.0.101:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.0.101:49186    116.211.186.208:80     CLOSE_WAIT      2540
  TCP    192.168.0.101:49191    116.211.186.208:80     CLOSE_WAIT      2540
  TCP    192.168.0.101:49192    116.211.186.208:80     CLOSE_WAIT      2540
  TCP    192.168.0.101:49193    116.211.186.208:80     CLOSE_WAIT      2540
  TCP    192.168.0.101:49194    116.211.186.208:80     CLOSE_WAIT      2540
  TCP    192.168.0.101:50922    116.211.186.209:80     CLOSE_WAIT      2540
  TCP    192.168.0.101:51018    101.227.32.21:80       CLOSE_WAIT      2540
  TCP    192.168.0.101:51021    101.227.32.21:80       CLOSE_WAIT      2540
  TCP    192.168.0.101:51023    58.215.126.42:80       CLOSE_WAIT      2540
  TCP    192.168.0.101:51160    140.206.78.6:80        ESTABLISHED     2864
  TCP    192.168.0.101:51164    222.173.56.7:80        CLOSE_WAIT      4388
  TCP    192.168.0.101:51366    101.227.188.176:80     CLOSE_WAIT      2540
  TCP    192.168.0.101:51368    101.227.188.170:80     CLOSE_WAIT      1104
  TCP    192.168.0.101:51745    116.211.186.208:80     CLOSE_WAIT      3108
  TCP    192.168.0.101:52062    101.199.97.97:80       ESTABLISHED     2864
  TCP    192.168.0.101:52232    116.227.61.183:4466    ESTABLISHED     6308
  TCP    192.168.0.101:52235    116.231.198.137:4466   ESTABLISHED     6308
  TCP    192.168.0.101:52243    116.233.246.93:4466    ESTABLISHED     6308
  TCP    192.168.0.101:52250    180.172.246.30:4466    ESTABLISHED     6308
  TCP    192.168.0.101:52265    58.37.209.149:4466     ESTABLISHED     6308
  TCP    192.168.0.101:52283    61.172.27.112:4466     ESTABLISHED     6308
  TCP    192.168.0.101:52284    114.82.3.250:4466      ESTABLISHED     6308
  TCP    192.168.0.101:52437    221.239.130.101:4466   ESTABLISHED     6308
  TCP    192.168.0.101:52547    64.233.188.188:5228    ESTABLISHED     10068
  TCP    192.168.0.101:52746    101.87.229.213:4466    ESTABLISHED     6308
  TCP    192.168.0.101:53019    116.225.19.5:4466      ESTABLISHED     6308
  TCP    192.168.0.101:55990    114.88.3.53:4466       ESTABLISHED     6308
  TCP    192.168.0.101:56050    203.208.41.47:443      ESTABLISHED     10068
  TCP    192.168.0.101:56052    203.208.41.191:443     TIME_WAIT       0
  TCP    192.168.0.101:56054    203.208.40.47:443      TIME_WAIT       0
  TCP    192.168.0.101:56055    203.208.40.34:443      TIME_WAIT       0
  TCP    192.168.0.101:56323    203.208.41.175:443     ESTABLISHED     10068
  TCP    192.168.0.101:56333    106.11.94.30:80        CLOSE_WAIT      5928
  TCP    192.168.0.101:56338    106.11.92.2:80         CLOSE_WAIT      6288
  TCP    192.168.0.101:56430    101.227.200.139:80     CLOSE_WAIT      8676
  TCP    192.168.0.101:56431    101.227.188.172:80     CLOSE_WAIT      8676
  TCP    192.168.0.101:56789    204.79.197.214:80      ESTABLISHED     10068
  TCP    192.168.0.101:56829    34.196.73.180:443      TIME_WAIT       0
